Rosa-Bavarese-Str. 1a, 80639 München
Angererstr. 9c, 80796 München
Petra-Kelly-Str. 1, 80797 München
Schleißheimer Str. 137, 80797 München
Agnesstr. 3, 80801 München
Leopoldstr. 41, 80802 München
Leopoldstrasse 53, 80802 München
Alfred-Arndt-Str. 1, 80807 München
Keferloherstr. 75, 80807 München
Werner-Egk-Bogen 21, 80939 München
Feldmochinger Str. 4, 80992 München
Feldmochinger Str. 423, 80995 München
Lerchenstr. 7, 80995 München
Walter-Sedlmayr-Platz 6, 80995 München
Kaflerstr. 2, 81241 München
Limesstr. 62, 81243 München
Stockacher Str. 6, 81243 München
Paul-Gerhardt-Allee 30/32, 81245 München
Mahatma-Gandhi-Platz 5, 81248 München
Flößergasse 6f, 81369 München
Konrad-Celtis-Str. 66, 81369 München
Kistlerhofstraße 172a, 81379 München
Königswieser Str. 5, 81475 München
Züricher Str. 92, 81476 München
Werner-Schlierf-Str. 5, 81539 München
Balanstr. 73, 81541 München
Falkenstr. 9, 81541 München
Hanne-Hiob-Str. 10, 81671 München
Hermann-Weinhauser-Straße 90, 81673 München
Kreillerstr. 33, 81673 München
St.-Veit-Straße 11, 81673 München
Putzbrunner Str. 4, 81737 München
Carl-Wery-Str. 35, 81739 München
Hafelhofweg 3, 81825 München
Elisabeth-Castonier-Platz 25, 81829 München
Freischützstr. 92, 81927 München
Tal 13, 80331 München
Theatinerstr. 14 (Fünf Höfe), 80333 München
Nymphenburger Str. 75, 80636 München
Volpinistr. 19, 80638 München
Romanplatz 10, 80639 München
Endelhauser Str. 15, 80686 München
Fürstenrieder Str. 57, 80686 München
Schleißheimer Str. 124-126, 80797 München
Georgenstr. 74-78, 80799 München
Hohenzollernstr. 30, 80801 München
Ungererstr. 19, 80802 München
Feldmochinger Str. 53, 80993 München
Untermenzinger Str. 71, 80997 München
Georg-Reismüller-Str. 24, 80999 München
Hansastr. 134, 81373 München
Partnachplatz 1, 81373 München
Würmtalstr. 117, 81375 München
Aidenbachstr. 30, 81379 München
Engadiner Str. 2, 81475 München
Tegernseer Landstr. 146, 81539 München
Sankt-Magnus-Str. 32, 81545 München
Grünwalder Str. 10, 81547 München
Melusinenstr. 2, 81671 München
Richard-Strauss-Str. 24, 81677 München
Pienzenauer Str. 1, 81679 München
Albert-Schweitzer-Str. 78, 81735 München
Waldheimplatz 58, 81739 München
Hugo-Weiss-Str. 2-4, 81827 München
Rosenkavalierplatz 5, 81925 München
Freischützstr. 13, 81927 München
Daglfinger Str. 5, 81929 München
Terminalstr. Mitte 18, 85356 München
Bonner Platz 1, 80803 München
Milbertshofener Str. 90, 80807 München
Petuelring 92, 80807 München
Josephsburgstr. 37, 81673 München
Kölner Str. 26, 50859 Köln
Venloer Str. 601-603, 50827 Köln
Neumarkt 35-37, 50667 Köln
Schwertnergasse 1, 50667 Köln
Hohenzollernring 79-83, 50672 Köln
Hohenstaufenring 29-37, 50674 Köln
Rudolfplatz 9, 50674 Köln
Waidmarkt 2-3, 50676 Köln
